ar,smasvaedi,fjoldi
2014,2703,1063
2014,2704,720
2014,2705,709
2014,2801,893
2014,2802,647
2014,2803,1014
2014,2804,930
2014,2901,1114
2014,2902,533
2014,2903,649
2014,2904,1369
2014,3001,292
2014,3002,287
2014,3003,680
2014,3004,557
2014,3005,545
2014,3006,546
2014,3101,1020
2014,3102,357
2014,3103,735
2014,3104,659
2014,3105,471
2014,3201,453
2014,3202,695
2014,3203,652
2014,3204,1083
2014,3205,373
2014,3301,672
2014,3302,939
2014,3303,623
2014,3304,1037
2014,3305,1075
2014,3401,1086
2014,3402,565
2014,3403,1433
2014,3404,523
2014,3501,493
2014,3502,804
2014,3503,652
2014,3504,1317
2014,3601,972
2014,3602,937
2014,3603,1101
2014,3701,618
2014,3702,780
2014,3703,781
2014,3704,512
2014,3801,550
2014,3802,426
2014,3803,641
2014,3804,858
2014,3901,908
2014,3902,792
2014,3903,1088
2014,3904,882
2014,4001,622
2014,4002,1160
2014,4003,580
2014,4101,748
2014,4102,1452
2014,4103,573
2014,4201,844
2014,4202,574
2014,4203,677
2014,4204,543
2015,0101,699
2015,0102,534
2015,0103,645
2015,0104,519
2015,0201,490
2015,0202,775
2015,0203,789
2015,0204,705
2015,0205,643
2015,0206,835
2015,0207,451
2015,0208,710
2015,0301,1176
2015,0302,1210
2015,0303,738
2015,0304,1024
2015,0401,1102
2015,0402,1202
2015,0403,658
2015,0404,1117
2015,0405,974
2015,0501,778
2015,0502,791
2015,0503,644
2015,0504,605
2015,0601,1149
2015,0602,876
2015,0603,441
2015,0604,731
2015,0605,555
2015,0606,768
2015,0701,745
2015,0702,621
2015,0703,773
2015,0704,1030
2015,0705,956
2015,0706,1380
2015,0707,565
2015,0708,915
2015,0801,763
2015,0802,581
2015,0803,1014
2015,0804,1259
2015,0805,726
2015,0806,946
2015,0807,719
2015,0901,1133
2015,0902,718
2015,0903,889
2015,0904,855
2015,0905,549
2015,1001,495
2015,1002,930
2015,1003,1321
2015,1004,1140
2015,1005,817
2015,1006,912
2015,1101,437
2015,1102,1400
2015,1103,1252
2015,1104,1006
2015,1201,837
2015,1202,1330
2015,1203,779
2015,1204,1043
2015,1205,633
2015,1206,796
2015,1301,849
2015,1302,1104
2015,1303,750
2015,1304,351
2015,1305,423
2015,1401,910
2015,1402,412
2015,1403,544
2015,1404,556
2015,1501,985
2015,1502,941
2015,1503,1077
2015,1504,932
2015,1601,680
2015,1602,1071
2015,1603,1482
2015,1701,666
2015,1702,523
2015,1703,539
2015,1704,778
2015,1705,1011
2015,1706,931
2015,1801,642
2015,1802,551
2015,1803,101
2015,1804,698
2015,1805,786
2015,1806,393
2015,1807,837
2015,1808,1055
2015,1809,741
2015,1810,405
2015,1811,868
2015,1901,968
2015,1902,355
2015,1903,315
2015,1904,750
2015,2001,801
2015,2002,348
2015,2003,629
2015,2004,1166
2015,2005,921
2015,2006,1125
2015,2007,990
2015,2008,434
2015,2101,952
2015,2102,380
2015,2103,786
2015,2104,968
2015,2105,494
2015,2106,892
2015,2201,897
2015,2202,509
2015,2203,518
2015,2204,732
2015,2205,686
2015,2301,883
2015,2302,537
2015,2303,829
2015,2401,948
2015,2402,1005
2015,2403,1043
2015,2404,741
2015,2405,273
2015,2406,607
2015,2407,213
2015,2501,1118
2015,2502,433
2015,2503,804
2015,2504,870
2015,2601,1019
2015,2602,1256
2015,2701,562
2015,2702,665
2015,2703,1084
2015,2704,763
