Sveitarfélag,Tegundlóða,Lóðasvæði,Staða,Athugasemdir,Smásvæði,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Samtals
Reykjavíkurborg,Fjölbýli,Kringlan - II-V,Þróunar- og framtíðarsvæði,Framtíðarsvæði,,0.0,0.0,0.0,0.0,0.0,230.0,100.0,100.0,100.0,100.0,0.0,630.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Laugavegur 157,Byggingarhæf lóð,Byggingarhæf,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Sóltún 2-4,Byggingarhæf lóð,Undir lóðarhafa komið hvenær framkvæmdir hefjast,,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
Reykjavíkurborg,Fjölbýli,Miðborg - Bergstaðastræti 18,Byggingarhæf lóð,Í byggingu - viðbygging,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Reykjavíkurborg,Fjölbýli,Skerjafjörður I,Samþykkt deiliskipulag,Þróunarreitur,,0.0,201.0,210.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0
Reykjavíkurborg,Fjölbýli,Vogabyggð I - Stefnisvogur 36,Byggingarhæf lóð,,,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Eirhöfði 7,Byggingarhæf lóð,Í byggingu,,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Arnarbakki,Samþykkt deiliskipulag,Óbyggingarhæfar lóðir - samningar,,0.0,65.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
Kópavogsbær,Fjölbýli,"Glaðheimar, vesturhluti",Samþykkt deiliskipulag,,,0.0,0.0,468.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
Kópavogsbær,Fjölbýli,"Auðbrekka, þróunarsvæði",Þróunar- og framtíðarsvæði,,,0.0,100.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
Kópavogsbær,Fjölbýli,Hafnarbraut 17-23,Byggingarhæf lóð í biðstöðu,Samþykkt deiliskipulag 2018,,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
Kópavogsbær,Fjölbýli,Vesturvör 22-24,Byggingarhæf lóð í biðstöðu,Samþykkt deiliskipulag 2018,,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
Kópavogsbær,Fjölbýli,Fannborgarreitur,Samþykkt deiliskipulag,,,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0
Kópavogsbær,Fjölbýli,"Kársnes, þróunarsvæði",Þróunar- og framtíðarsvæði,,,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,900.0
Kópavogsbær,Einbýli,Vatnsendahvarf,Samþykkt deiliskipulag,,,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Kópavogsbær,Fjölbýli,Vatnsendahvarf,Samþykkt deiliskipulag,,,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0
Kópavogsbær,Parhús/raðhús/tvíbýli,Vatnsendahlíð,Þróunar- og framtíðarsvæði,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,400.0
Kópavogsbær,Fjölbýli,Vatnsendahlíð,Þróunar- og framtíðarsvæði,,,0.0,0.0,0.0,0.0,180.0,0.0,0.0,320.0,0.0,0.0,0.0,500.0
Kópavogsbær,Parhús/raðhús/tvíbýli,Vatnsendahvarf,Samþykkt deiliskipulag,,,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
Kópavogsbær,Fjölbýli,Traðarreitir vestari,Samþykkt deiliskipulag,,,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0
Garðabær,Parhús/raðhús/tvíbýli,Kumlamýri,Byggingarhæf lóð,,,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Garðabær,Einbýli,Hnoðraholt suður einbýli,Þróunar- og framtíðarsvæði,Samkvæmt rammahluta aðalskipulags.,,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,30.0
Garðabær,Parhús/raðhús/tvíbýli,Garðahverfi,Samþykkt deiliskipulag,,,0.0,0.0,0.0,0.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,28.0
Garðabær,Fjölbýli,Breiðamýri Álftanesi,Byggingarhæf lóð,,,168.0,56.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0
Garðabær,Fjölbýli,"Hnoðraholt norður, Þorraholt",Byggingarhæf lóð,Heimild er fyrir því að byggja 220 íbúðir í dsk. og uppbygging mun dreifast milli áranna 2023- 2026.,,0.0,30.0,100.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0
